
time,ax,ay,az,wx,wy,wz,Azimuth,Pitch,Roll,Gain,
0.8160,0.0380,0.1614,-0.2890,-0.1220,-0.0144,-0.0698,233.2646,-22.3172,-4.7461,85.2648,
0.8180,0.0170,0.2853,-0.1739,-0.1220,-0.0144,-0.0698,233.2646,-22.3172,-4.7461,85.2648,
0.8190,0.0170,0.2853,-0.1739,-0.1220,-0.0144,-0.0698,233.2646,-22.3172,-4.7461,85.2648,
0.8640,0.0170,0.2853,-0.1739,-0.0745,-0.0747,-0.0804,233.2646,-22.3172,-4.7461,85.2648,
0.8660,0.0170,0.2853,-0.1739,-0.0745,-0.0747,-0.0804,233.2646,-22.3172,-4.7461,85.2648,
0.8670,0.0170,0.2853,-0.1739,-0.0745,-0.0747,-0.0804,233.2646,-22.3172,-4.7461,85.2648,
0.8720,0.0170,0.2853,-0.1739,-0.0745,-0.0747,-0.0804,233.2646,-22.3172,-4.7461,90.6492,
0.8850,0.0170,0.2853,-0.1739,-0.0745,-0.0747,-0.0804,233.4703,-22.0694,-4.7100,90.6492,
0.8870,0.1143,0.2579,0.0098,-0.0745,-0.0747,-0.0804,233.4703,-22.0694,-4.7100,90.6492,
0.8910,0.1143,0.2579,0.0098,-0.0745,-0.0747,-0.0804,233.4703,-22.0694,-4.7100,90.6492,
0.9310,0.1143,0.2579,0.0098,-0.0745,-0.0747,-0.0804,233.4703,-22.0694,-4.7100,90.6492,
0.9340,0.1143,0.2579,0.0098,-0.0998,-0.1234,-0.0747,233.4703,-22.0694,-4.7100,90.6492,
0.9370,0.1143,0.2579,0.0098,-0.0998,-0.1234,-0.0747,233.4703,-22.0694,-4.7100,90.6492,
0.9530,0.0331,0.2778,-0.1218,-0.0998,-0.1234,-0.0747,233.4703,-22.0694,-4.7100,90.6492,
0.9580,0.0331,0.2778,-0.1218,-0.0998,-0.1234,-0.0747,233.4703,-22.0694,-4.7100,90.6492,
0.9600,0.0331,0.2778,-0.1218,-0.0998,-0.1234,-0.0747,233.7952,-21.9375,-4.3827,90.6492,
0.9990,0.0331,0.2778,-0.1218,-0.0998,-0.1234,-0.0747,233.7952,-21.9375,-4.3827,90.6492,
1.0010,0.0331,0.2778,-0.1218,-0.0504,-0.1549,-0.1139,233.7952,-21.9375,-4.3827,90.6492,
1.0030,0.0331,0.2778,-0.1218,-0.0504,-0.1549,-0.1139,233.7952,-21.9375,-4.3827,90.6492,
1.0040,0.0331,0.2778,-0.1218,-0.0504,-0.1549,-0.1139,233.7952,-21.9375,-4.3827,90.6492,
1.0190,0.0331,0.2778,-0.1218,-0.0504,-0.1549,-0.1139,234.1196,-21.7336,-3.9332,90.6492,
1.0220,0.0333,0.2373,-0.0242,-0.0504,-0.1549,-0.1139,234.1196,-21.7336,-3.9332,90.6492,
1.0240,0.0333,0.2373,-0.0242,-0.0504,-0.1549,-0.1139,234.1196,-21.7336,-3.9332,90.6492,
1.0690,0.0333,0.2373,-0.0242,-0.0504,-0.1549,-0.1139,234.1196,-21.7336,-3.9332,90.6492,
1.0720,0.0333,0.2373,-0.0242,-0.0996,-0.0959,-0.1154,234.1196,-21.7336,-3.9332,90.6492,
1.0740,0.0333,0.2373,-0.0242,-0.0996,-0.0959,-0.1154,234.1196,-21.7336,-3.9332,90.6492,
1.0830,0.0333,0.2373,-0.0242,-0.0996,-0.0959,-0.1154,234.1196,-21.7336,-3.9332,90.6492,
1.0890,0.0333,0.2373,-0.0242,-0.0996,-0.0959,-0.1154,234.5945,-21.7335,-3.5649,90.6492,
1.0920,-0.1049,0.3533,-0.1130,-0.0996,-0.0959,-0.1154,234.5945,-21.7335,-3.5649,90.6492,
1.1340,-0.1049,0.3533,-0.1130,0.0007,-0.1122,-0.0968,234.5945,-21.7335,-3.5649,90.6492,
1.1360,-0.1049,0.3533,-0.1130,0.0007,-0.1122,-0.0968,234.5945,-21.7335,-3.5649,90.6492,
1.1380,-0.1049,0.3533,-0.1130,0.0007,-0.1122,-0.0968,234.5945,-21.7335,-3.5649,90.6492,
1.1390,-0.1049,0.3533,-0.1130,0.0007,-0.1122,-0.0968,234.5945,-21.7335,-3.5649,90.6492,
1.1550,-0.1049,0.3533,-0.1130,0.0007,-0.1122,-0.0968,235.1103,-21.5870,-3.3907,90.6492,
1.1580,-0.2783,0.3427,-0.0270,0.0007,-0.1122,-0.0968,235.1103,-21.5870,-3.3907,90.6492,
1.1610,-0.2783,0.3427,-0.0270,0.0007,-0.1122,-0.0968,235.1103,-21.5870,-3.3907,90.6492,
1.2080,-0.2783,0.3427,-0.0270,-0.0648,-0.0837,-0.0912,235.1103,-21.5870,-3.3907,90.7946,
1.2090,-0.2783,0.3427,-0.0270,-0.0648,-0.0837,-0.0912,235.1103,-21.5870,-3.3907,90.7946,
1.2100,-0.2783,0.3427,-0.0270,-0.0648,-0.0837,-0.0912,235.1103,-21.5870,-3.3907,90.7946,
1.2230,-0.2783,0.3427,-0.0270,-0.0648,-0.0837,-0.0912,235.3384,-21.7671,-3.3583,90.7946,
1.2280,-0.1951,0.4153,-0.3243,-0.0648,-0.0837,-0.0912,235.3384,-21.7671,-3.3583,90.7946,
1.2300,-0.1951,0.4153,-0.3243,-0.0648,-0.0837,-0.0912,235.3384,-21.7671,-3.3583,90.7946,
1.2720,-0.1951,0.4153,-0.3243,-0.0648,-0.0837,-0.0912,235.3384,-21.7671,-3.3583,90.7946,
1.2770,-0.1951,0.4153,-0.3243,0.1041,-0.1344,-0.0196,235.3384,-21.7671,-3.3583,90.7946,
1.2820,-0.1951,0.4153,-0.3243,0.1041,-0.1344,-0.0196,235.3384,-21.7671,-3.3583,90.7946,
1.2850,-0.1951,0.4153,-0.3243,0.1041,-0.1344,-0.0196,235.3384,-21.7671,-3.3583,90.7946,
