time,gFx,gFy,gFz,TgF
1.801000,0.0173,0.3730,0.9486,1.019
1.807000,0.0178,0.3726,0.9476,1.018
1.809000,0.0181,0.3721,0.9479,1.018
1.828000,0.0188,0.3711,0.9486,1.019
1.829000,0.0203,0.3701,0.9498,1.020
1.829000,0.0220,0.3701,0.9506,1.020
1.830000,0.0247,0.3713,0.9503,1.021
1.830000,0.0276,0.3733,0.9508,1.022
1.836000,0.0288,0.3738,0.9508,1.022
1.852000,0.0300,0.3738,0.9513,1.023
1.853000,0.0305,0.3750,0.9525,1.024
1.853000,0.0286,0.3757,0.9523,1.024
1.853000,0.0271,0.3745,0.9515,1.023
1.868000,0.0261,0.3730,0.9503,1.021
1.869000,0.0230,0.3718,0.9488,1.019
1.869000,0.0213,0.3716,0.9491,1.019
1.887000,0.0208,0.3726,0.9506,1.021
1.887000,0.0198,0.3721,0.9525,1.023
1.888000,0.0208,0.3716,0.9537,1.024
1.888000,0.0210,0.3716,0.9547,1.025
1.902000,0.0205,0.3728,0.9547,1.025
1.903000,0.0205,0.3728,0.9530,1.024
1.903000,0.0198,0.3716,0.9528,1.023
1.925000,0.0198,0.3708,0.9530,1.023
1.925000,0.0193,0.3706,0.9530,1.023
1.925000,0.0186,0.3706,0.9537,1.023
1.926000,0.0178,0.3701,0.9554,1.025
1.934000,0.0176,0.3718,0.9567,1.027
1.935000,0.0173,0.3721,0.9574,1.027
1.937000,0.0169,0.3721,0.9576,1.028
1.948000,0.0161,0.3723,0.9576,1.028
1.948000,0.0149,0.3708,0.9572,1.027
1.951000,0.0149,0.3704,0.9552,1.025
1.956000,0.0156,0.3708,0.9520,1.022
1.964000,0.0164,0.3704,0.9501,1.020
1.966000,0.0188,0.3696,0.9498,1.019
1.971000,0.0213,0.3704,0.9486,1.019
1.981000,0.0225,0.3708,0.9474,1.018
1.981000,0.0239,0.3711,0.9481,1.018
1.985000,0.0252,0.3718,0.9498,1.020
1.990000,0.0257,0.3721,0.9510,1.022
1.997000,0.0257,0.3708,0.9508,1.021
2.000000,0.0249,0.3711,0.9515,1.022
2.004000,0.0235,0.3711,0.9535,1.023
2.024000,0.0215,0.3713,0.9552,1.025
2.024000,0.0188,0.3723,0.9569,1.027
2.024000,0.0173,0.3726,0.9572,1.027
2.024000,0.0173,0.3728,0.9554,1.026
2.034000,0.0169,0.3728,0.9528,1.023
2.035000,0.0176,0.3713,0.9506,1.021
2.039000,0.0186,0.3694,0.9498,1.019
2.048000,0.0186,0.3691,0.9488,1.018
2.048000,0.0186,0.3694,0.9474,1.017
2.053000,0.0193,0.3704,0.9471,1.017
2.071000,0.0220,0.3708,0.9464,1.017
2.072000,0.0230,0.3708,0.9449,1.015
2.072000,0.0247,0.3701,0.9442,1.014
2.073000,0.0264,0.3686,0.9449,1.015
2.087000,0.0269,0.3677,0.9462,1.015
2.088000,0.0291,0.3669,0.9481,1.017
2.088000,0.0296,0.3669,0.9503,1.019
2.102000,0.0278,0.3684,0.9513,1.021
2.103000,0.0276,0.3696,0.9518,1.021
2.104000,0.0252,0.3699,0.9528,1.022
2.105000,0.0230,0.3711,0.9547,1.025
2.135000,0.0222,0.3713,0.9559,1.026
2.136000,0.0210,0.3718,0.9567,1.027
2.136000,0.0200,0.3726,0.9576,1.028
2.136000,0.0193,0.3726,0.9579,1.028
2.137000,0.0176,0.3718,0.9567,1.027
2.137000,0.0159,0.3708,0.9535,1.023
2.140000,0.0156,0.3713,0.9496,1.020
2.148000,0.0176,0.3723,0.9454,1.016
2.151000,0.0205,0.3738,0.9422,1.014
